№,Team,Team_Img,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,SPCmp,SPAtt,SPCmp%,MPCmp,MPAtt,MPCmp%,LPCmp,LPAtt,LPCmp%,Possession,Progression,Press,Succ,%,Def3rd,Mid3rd,Att3rd,SoTReceived,GCA90,SCA90,Ast,AttPen,PPA,DefT3rd,MidT3rd,AttT3rd
1,Manchester City,https://logodownload.org/wp-content/uploads/2017/02/manchester-city-fc-logo-escudo-badge.png,38,27,5,6,83,32,86,77.72,70.86,30.61,22.82,48.05,10.11,20.39,405,150,83.38,590,213,36.1,15.53,5.61,0.13,0.36,16.6,21,9849,10630,92.7,10407,11258,92.4,2957,3997,74.0,63.9,1633,4560,1462,32.1,1167,2030,1363,89,3.63,25.95,55,1360,447,7108,16433,9082
2,Manchester United,https://upload.wikimedia.org/wikipedia/pt/b/b6/Manchester_United_FC_logo.png,38,21,11,6,73,44,74,63.17,54.80,41.92,38.87,15.93,10.95,12.46,339,186,65.64,517,197,38.1,13.61,5.18,0.12,0.30,17.3,21,8082,8927,90.5,7765,8682,89.4,2316,3499,55.8,62.4,1502,5041,1490,29.6,1537,2164,1340,135,3.21,23.13,51,1043,397,8046,12262,7891
3,Liverpool,https://logodownload.org/wp-content/uploads/2017/02/liverpool-fc-logo-escudo-2.png,38,20,9,9,68,42,69,72.21,67.64,47.30,41.22,26.43,9.13,18.57,458,144,68.80,600,201,33.5,15.79,5.29,0.10,0.29,16.2,20,8395,9322,90.1,9732,10782,90.3,3072,4602,66.8,62.4,1914,5394,1707,31.6,1339,2329,1726,137,2.47,24.63,43,1372,552,7936,14808,8910
4,Chelsea,https://logodownload.org/wp-content/uploads/2017/02/chelsea-fc-logo-escudo.png,38,19,10,9,58,36,67,68.66,61.04,30.90,27.86,33.18,9.19,16.50,337,179,77.41,553,194,35.1,14.55,5.11,0.09,0.25,16.3,16,8896,9759,91.2,9751,10706,91.1,2665,3901,68.3,61.4,1528,5376,1668,31.0,1692,2388,1296,103,2.55,24.71,38,1131,393,9251,14400,7810
5,Leicester,https://logodownload.org/wp-content/uploads/2019/05/leicester-city-logo.png,38,20,6,12,68,50,66,58.80,49.67,47.07,44.02,5.65,9.99,13.50,237,209,59.75,472,172,36.4,12.42,4.53,0.11,0.31,18.0,20,6923,7840,88.3,7382,8362,88.3,2163,3648,59.3,54.6,1247,5142,1629,31.7,1797,2214,1131,134,2.92,20.05,45,838,304,8195,12125,6207
6,West Ham,https://upload.wikimedia.org/wikipedia/pt/1/1d/West_Ham_United_FC_logo.png,38,19,8,11,62,47,65,60.34,57.13,49.86,46.06,11.08,16.45,11.08,172,286,59.18,462,158,34.2,12.16,4.16,0.13,0.37,15.4,16,5241,6072,86.3,5056,6056,83.5,2006,3589,55.9,42.9,967,4989,1342,26.9,1882,2133,974,143,2.47,19.16,46,828,264,6846,9450,5500	
7,Tottenham,https://upload.wikimedia.org/wikipedia/pt/6/6d/Tottenham_Hotspur.png,38,18,8,12,68,45,62,56.68,52.87,52.55,44.94,7.93,11.27,11.52,193,293,53.98,442,166,37.6,11.63,4.37,0.14,0.37,17.2,35,6803,7664,88.8,6812,7803,87.3,2224,3688,60.3,51.7,1181,5871,1643,28.0,2124,2563,1184,144,2.89,18.84,50,770,279,8302,12150,5317
8,Arsenal,https://logodownload.org/wp-content/uploads/2017/02/Arsenal-logo-escudo-shield-1.png,38,18,7,13,55,39,61,52.25,47.68,43.23,40.95,6.73,13.64,16.28,292,203,58.72,455,141,31.0,11.97,3.71,0.10,0.33,16.9,23,7057,7896,89.4,8102,8997,90.1,2374,3723,63.8,53.8,1340,4685,1331,28.4,1499,1897,1289,128,18.84,19.03,38,979,340,8496,11724,6662
9,Leeds,https://upload.wikimedia.org/wikipedia/pt/0/05/Leeds_United_Logo.png,38,18,5,15,62,54,59,59.26,56.21,63.02,56.01,0.20,7.17,12.27,305,283,51.81,524,196,37.4,13.79,5.16,0.11,0.29,16.2,9,6052,6930,87.3,7236,8287,87.3,2454,4047,60.6,57.6,1409,6658,1971,29.6,2340,2885,1433,189,2.84,21.37,45,985,372,9481,10576,6094
10,Everton,https://logodownload.org/wp-content/uploads/2019/04/everton-logo-escudo.png,38,17,8,13,47,48,59,49.24,45.42,50.16,47.12,-1.70,14.21,11.82,207,270,50.72,395,144,36.5,10.39,3.79,0.10,0.28,16.4,15,5538,6304,87.8,6477,7377,87.8,2372,3845,61.7,46.5,1072,5660,1604,28.3,2220,2364,1076,158,2.05,16.97,32,700,261,8747,10503,4941
